"","ID","Surname","Given","IntlWW40","IntlWW50","IntlWW60"
"441","ICUS0441","Diop","Babaker",NA,NA,NA
"442","ICUS0442","Dissanayake","Ellen",NA,NA,NA
"443","ICUS0443","Djojohadikusumo","Sumitro","B1917-05-29","B1917-05-29",NA
"444","ICUS0444","Dobriansky","Lev E.",NA,NA,NA
"445","ICUS0445","Dobrocheev","Oleg",NA,NA,NA
"446","ICUS0446","Doby","John Thomas",NA,NA,NA
"447","ICUS0447","Dobzhansky","Theodosius",NA,NA,NA
"448","ICUS0448","Doebler","Matthias",NA,NA,NA
"449","ICUS0449","Domash","Lawrence H.",NA,NA,NA
"450","ICUS0450","Donahue","Thomas Michael",NA,"B1921-05-21","B1921-05-23"
"451","ICUS0451","Donchin","Anne",NA,NA,NA
"452","ICUS0452","Donoso","Alvaro",NA,"B1951",NA
"453","ICUS0453","Dou","Alberto",NA,NA,NA
"454","ICUS0454","Doub II","William Coligny",NA,NA,NA
"455","ICUS0455","Dougherty","Jude Patrick",NA,NA,NA
"456","ICUS0456","Doxiadis","Constantinos Apostolou",NA,NA,NA
"457","ICUS0457","Drachkovitch","Milorad M.",NA,NA,NA
"458","ICUS0458","Dror","Rachel",NA,NA,NA
"459","ICUS0459","Dror","Yehezkel",NA,NA,NA
"460","ICUS0460","Dube","Shyama Charan",NA,NA,NA
"461","ICUS0461","Dubois","Jacques","B1920-04-13","B1920-04-13","B1920-04-13"
"462","ICUS0462","Dufrenne","Mikel",NA,NA,NA
"463","ICUS0463","Dukan","Laurent",NA,NA,NA
"464","ICUS0464","Dunitz","Jack David",NA,"B1923-03-29","B1923-03-29"
"465","ICUS0465","Dunn","James Robert",NA,NA,NA
"466","ICUS0466","Dunn","Peter D.",NA,NA,NA
"467","ICUS0467","Dunstan","Gordon Reginald",NA,"B1926-09-21","B1917-04-25"
"468","ICUS0468","Durand","Gilbert",NA,NA,NA
"469","ICUS0469","Durst","Mose",NA,NA,NA
"470","ICUS0470","Dutton","Denis",NA,NA,NA
"471","ICUS0471","Dwyer","Denis John",NA,NA,NA
"472","ICUS0472","Dy Jr","Manuel B.",NA,NA,NA
"473","ICUS0473","Dyckman","John W.",NA,NA,NA
"474","ICUS0474","Easterlin","Nancy",NA,NA,NA
"475","ICUS0475","Eaton","David",NA,NA,NA
"476","ICUS0476","Ebenegger","Christian",NA,NA,NA
"477","ICUS0477","Eby","Lloyd",NA,NA,NA
"478","ICUS0478","Eccles","John Carew","B1903-01-27","B1903-01-27","B1903-01-27"
"479","ICUS0479","Eccles","Lady Helena",NA,NA,NA
"480","ICUS0480","Edgington","Dorothy",NA,NA,NA
"481","ICUS0481","Edwards","Joshua L.",NA,NA,NA
"482","ICUS0482","Effat","Ragia Mohamed",NA,NA,NA
"483","ICUS0483","Eigen","Manfred","B1927-05-09","B1927-05-09","B1927-05-09"
"484","ICUS0484","Elahwal","Abdel Karim Aly",NA,NA,NA
"485","ICUS0485","Elaigwu","Jonah Isawa",NA,NA,NA
"486","ICUS0486","Elbek","Bent",NA,NA,NA
"487","ICUS0487","Eliach","Yaffa",NA,NA,NA
"488","ICUS0488","Elinson","Jack",NA,"B1917-06-30","B1917-06-30"
"489","ICUS0489","Ellison","Arthur James",NA,NA,NA
"490","ICUS0490","Ellison","J. Audrey",NA,NA,NA
"491","ICUS0491","Ellsaesser","Hugh W.",NA,NA,NA
"492","ICUS0492","Ellsaesser","Inge",NA,NA,NA
"493","ICUS0493","Elsasser","Walter Maurice","B1904-03-20","B1904-03-20",NA
"494","ICUS0494","Elzaburu Márquez","Fernando de",NA,NA,NA
"495","ICUS0495","El-Zaim","Issam",NA,NA,NA
"496","ICUS0496","Emenyonu","Ernest N.",NA,NA,NA
"497","ICUS0497","Emery","Frederick Edmund",NA,NA,NA
"498","ICUS0498","Emery-Hellwig","Eric",NA,NA,NA
"499","ICUS0499","Ensign","C. David",NA,NA,NA
"500","ICUS0500","Enz","Charles Paul",NA,NA,NA
"501","ICUS0501","Eraj","Yusuf Ali",NA,NA,NA
"502","ICUS0502","Ercoli","N.",NA,NA,NA
"503","ICUS0503","Ericson","Richard Ferdinand",NA,NA,NA
"504","ICUS0504","Esaki","Reona (Leo)","B1925-03-12","B1925-03-12","B1925-03-12"
"505","ICUS0505","Escobar","Alfonso",NA,NA,NA
"506","ICUS0506","Esposito","Bruce J.",NA,NA,NA
"507","ICUS0507","Evans","N. Ray",NA,NA,NA
"508","ICUS0508","Everett","A. Gordon",NA,NA,NA
"509","ICUS0509","Fallding","Harold",NA,NA,NA
"510","ICUS0510","Fallon","Timothy Patrick",NA,NA,NA
"511","ICUS0511","Farmer","James Leonard","B1920-01-12","B1920-01-12","B1920-01-12"
"512","ICUS0512","Fateley","William Gene",NA,NA,NA
"513","ICUS0513","Fedanzo Jr","Anthony J.",NA,NA,NA
"514","ICUS0514","Fei","John Ching-Han",NA,NA,NA
"515","ICUS0515","Feinberg","Joel",NA,NA,"B1926-10-19"
"516","ICUS0516","Feinendegen","Ludwig E.",NA,NA,"B1927-01-01"
"517","ICUS0517","Felt","James Wright",NA,NA,NA
"518","ICUS0518","Fernando","Felix",NA,NA,NA
"519","ICUS0519","Fernando","Sumana",NA,NA,NA
"520","ICUS0520","Ferracuti","Franco",NA,NA,NA
"521","ICUS0521","Ferrantello","Donna",NA,NA,NA
"522","ICUS0522","Ferré","Frederick Pond",NA,NA,NA
"523","ICUS0523","Ferrell","Donald R.",NA,NA,NA
"524","ICUS0524","Feyerabend","Paul Karl",NA,NA,NA
"525","ICUS0525","Fichter","Joseph Henry",NA,NA,NA
"526","ICUS0526","Filstead","William J.",NA,NA,NA
"527","ICUS0527","Finch","Henry Le Roy",NA,NA,NA
"528","ICUS0528","Findlay","John Niemeyer",NA,NA,NA
"529","ICUS0529","Fink","Richard Walter",NA,NA,NA
"530","ICUS0530","Finkelman","Jacobo",NA,NA,NA
"531","ICUS0531","Finkelstein","David Ritz",NA,NA,NA
"532","ICUS0532","Finn","Edward J.",NA,NA,NA
"533","ICUS0533","Fishel","Simon",NA,NA,NA
"534","ICUS0534","Fisher","David",NA,NA,NA
"535","ICUS0535","Fleming","James Rodger",NA,NA,NA
"536","ICUS0536","Flew","Antony Garrard Newton",NA,NA,NA
"537","ICUS0537","Flinn","Frank K.",NA,NA,NA
"538","ICUS0538","Flouris","George",NA,NA,NA
"539","ICUS0539","Fomenko","Anatoly Timofeevich",NA,NA,"B1945-03-13"
"540","ICUS0540","Fong","Peter",NA,NA,NA
"541","ICUS0541","Forchheimer","Robert",NA,NA,NA
"542","ICUS0542","Ford","Hugh",NA,"B1913-07-16","B1913-07-16"
"543","ICUS0543","Fornallaz","Pierre",NA,NA,NA
"544","ICUS0544","Fornell","Claes",NA,NA,NA
"545","ICUS0545","Forssmann","Werner Theodor Otto",NA,NA,NA
"546","ICUS0546","Fort","Joel",NA,NA,NA
"547","ICUS0547","Foster","A. Durwood",NA,NA,NA
"548","ICUS0548","Foster","Richard B.",NA,NA,NA
"549","ICUS0549","Frankel","Charles",NA,NA,"B1911-03-06"
"550","ICUS0550","Frankl","Viktor Emil",NA,NA,NA
"551","ICUS0551","Fraser","Stewart Erskine",NA,NA,NA
"552","ICUS0552","Frassetto","Roberto",NA,NA,NA
"553","ICUS0553","Fridman","Alexei Maksimovich",NA,NA,NA
"554","ICUS0554","Friedman","Jerome Isaac",NA,NA,"B1930-03-28"
"555","ICUS0555","Friedman","Maurice Stanley",NA,NA,NA
"556","ICUS0556","Fritzsch","Harald",NA,NA,NA
"557","ICUS0557","Fritzsche","Helmut Gottfried",NA,NA,NA
"558","ICUS0558","Fry","Michael Graham",NA,NA,NA
"559","ICUS0559","Fu","Charles Wei-hsun",NA,NA,NA
"560","ICUS0560","Fuchs","Wilhelm",NA,NA,NA
"561","ICUS0561","Fucks","Wilhelm",NA,NA,NA
"562","ICUS0562","Fujimoto","Takashi",NA,NA,NA
"563","ICUS0563","Fujita","Tadashi",NA,NA,NA
"564","ICUS0564","Fujiwara","Kikuo",NA,NA,NA
"565","ICUS0565","Fukuchi","Takao",NA,NA,NA
"566","ICUS0566","Fukuda","Nobuyuki",NA,NA,NA
"567","ICUS0567","Fuller","Robert Works",NA,NA,NA
"568","ICUS0568","Furuta","Takeshi",NA,NA,NA
"569","ICUS0569","Fusamura","Nobuo",NA,NA,NA
"570","ICUS0570","Gaba","Christian R.",NA,NA,NA
"571","ICUS0571","Gabor","Dennis","B1900-06-05",NA,NA
"572","ICUS0572","Galantay","Ervin Y.",NA,NA,NA
"573","ICUS0573","Galaty","John G.",NA,NA,NA
"574","ICUS0574","Gallagher","Glen",NA,NA,NA
"575","ICUS0575","Galperin","Charles",NA,NA,NA
"576","ICUS0576","Gandhi","Ramchandra",NA,NA,NA
"577","ICUS0577","Gangadean","Ashok Kumar",NA,NA,NA
"578","ICUS0578","Chaban","Michèle Catherine Gantois",NA,NA,NA
"579","ICUS0579","Gantt","William Horsley",NA,NA,NA
"580","ICUS0580","Garay","Andrew S.",NA,NA,NA
"581","ICUS0581","Garcia","John David",NA,NA,NA
"582","ICUS0582","Garcia-Colin","Leopoldo S.",NA,NA,NA
"583","ICUS0583","Gardner","Richard Newton",NA,"B1927-07-09","B1927-07-09"
"584","ICUS0584","Garfinkle","Adam",NA,NA,NA
"585","ICUS0585","Garrett","William Robertson",NA,NA,NA
"586","ICUS0586","Garrido","Manuel",NA,NA,NA
"587","ICUS0587","Gastpar","Helmuth",NA,NA,NA
"588","ICUS0588","Gat","Joel Robert‏","B1926-02-17","B1926-02-17","B1926-02-17"
"589","ICUS0589","Gazzeri","Giovanni",NA,NA,NA
"590","ICUS0590","Gbadegesin","Segun",NA,NA,NA
"591","ICUS0591","Geffré","Claude",NA,NA,NA
"592","ICUS0592","Geist","Valerius",NA,NA,NA
"593","ICUS0593","Gelwick","Richard",NA,NA,NA
"594","ICUS0594","Gendron","Pierre",NA,NA,NA
"595","ICUS0595","Georgescu-Roegen","Nicholas",NA,NA,NA
"596","ICUS0596","Gerholm","Tor Ragnar",NA,NA,NA
"597","ICUS0597","Gessert","Robert A.",NA,NA,NA
"598","ICUS0598","Ghabbour","Samir Ibrahim",NA,NA,NA
"599","ICUS0599","Gharaybeh","Abdul Kareem",NA,NA,NA
"600","ICUS0600","Ghiselin","Michael T.",NA,NA,NA
"601","ICUS0601","Ghista","Dhanjoo N.",NA,NA,NA
"602","ICUS0602","Giampaoli","Michael",NA,NA,NA
"603","ICUS0603","Giampietro","Mario",NA,NA,NA
"604","ICUS0604","Gibrat","Robert",NA,NA,NA
"605","ICUS0605","Gilkey","Gordon Waverly",NA,NA,NA
"606","ICUS0606","Gislason","Gylfi Thorsteinsson","B1917-02-17","B1917-02-07","B1917-02-07"
"607","ICUS0607","Glaser","Donald Arthur","B1926-09-21","B1926-09-21","B1926-09-21"
"608","ICUS0608","Glass","Hiram Bentley","B1906-01-17","B1906-01-17",NA
"609","ICUS0609","Goble","Frank G.",NA,NA,NA
"610","ICUS0610","Goel","Atul",NA,NA,NA
"611","ICUS0611","Görnitz","Thomas",NA,NA,NA
"612","ICUS0612","Golaszewska","Maria",NA,NA,NA
"613","ICUS0613","Golden","John",NA,NA,NA
"614","ICUS0614","Golden","William T.",NA,NA,NA
"615","ICUS0615","Goldsmith","Edward René David",NA,NA,NA
"616","ICUS0616","Goldsmith","Maurice",NA,NA,NA
"617","ICUS0617","Goldstein","Daniel J.",NA,NA,NA
"618","ICUS0618","Gomes","Alair de Oliveira",NA,NA,NA
"619","ICUS0619","Gomez","Juan Antonio",NA,NA,NA
"620","ICUS0620","Gontar","Vladimir",NA,NA,NA
"621","ICUS0621","Gonzalez","Alvaro",NA,NA,NA
"622","ICUS0622","González Garza","Ana Maria",NA,NA,NA
"623","ICUS0623","Goodell","Horace Grant",NA,NA,NA
"624","ICUS0624","Goodeve","Charles Frederick","B1904-02-21",NA,NA
"625","ICUS0625","Gooding","David Charles",NA,NA,NA
"626","ICUS0626","Gordon","Ira J.",NA,NA,NA
"627","ICUS0627","Gori","Gio Batta",NA,NA,NA
"628","ICUS0628","Gori","Umberto",NA,NA,NA
"629","ICUS0629","Görnitz","Thomas",NA,NA,NA
"630","ICUS0630","Goswamy","Brijinder Nath",NA,NA,NA
"631","ICUS0631","Gotterer","Malcolm H.",NA,NA,NA
"632","ICUS0632","Graham","Gordon",NA,NA,NA
"633","ICUS0633","Gran","Peter",NA,NA,NA
"634","ICUS0634","Granit","Ragnar Arthur","B1900-10-30","B1900-10-30",NA
"635","ICUS0635","Granö","Olavi Johannes","B1925-05-27","B1925-05-27","B1925-05-27"
"636","ICUS0636","Grant","George Parkin",NA,NA,NA
"637","ICUS0637","Gray","Elizabeth Dodson",NA,NA,NA
"638","ICUS0638","Gray","Jesse Glenn",NA,NA,NA
"639","ICUS0639","Gray","John Nicholas",NA,NA,NA
"640","ICUS0640","Gray","Kenneth R.",NA,NA,NA
"641","ICUS0641","Grayson","John",NA,NA,NA
"642","ICUS0642","Green","Deirdre",NA,NA,NA
"643","ICUS0643","Greenberg","Wendy Nicholas",NA,NA,NA
"644","ICUS0644","Greene","Nancy Deale",NA,NA,NA
"645","ICUS0645","Greenfield","Richard David",NA,NA,NA
"646","ICUS0646","Gregorios","Paulos Mar","B1922-08-09","B1922-08-09","B1922-08-09"
"647","ICUS0647","Greif","Stuart William",NA,NA,NA
"648","ICUS0648","Gremillion","Joseph Benjamin",NA,NA,NA
"649","ICUS0649","Groenewold","Hilbrand Johannes",NA,NA,NA
"650","ICUS0650","Grønseth","Erik",NA,NA,NA
"651","ICUS0651","Gruner","Wayne R.",NA,NA,NA
"652","ICUS0652","Gruzilier","John H.",NA,NA,NA
"653","ICUS0653","Guareschi-Cazzullo","Adriana",NA,NA,NA
"654","ICUS0654","Gueron","Jules","B1907-06-02","B1907-06-02",NA
"655","ICUS0655","Guerra","Anthony J.",NA,NA,NA
"656","ICUS0656","Guerra","Victor",NA,NA,NA
"657","ICUS0657","Guetzkow","Harold Steere",NA,NA,NA
"658","ICUS0658","Gui","We-Xie",NA,NA,NA
"659","ICUS0659","Guilmet","Daniel",NA,NA,NA
"660","ICUS0660","Guimaraes","Jose A.",NA,NA,NA
"661","ICUS0661","Gülek","Kasim","B1910-12-20","B1910-12-20",NA
"662","ICUS0662","Gunaratne","Ranil Dion",NA,NA,NA
"663","ICUS0663","Gunawardena","Wimal",NA,NA,NA
"664","ICUS0664","Gunzig","Edgar",NA,NA,NA
"665","ICUS0665","Gupta","Bina",NA,NA,NA
"666","ICUS0666","Guriev","Sergei",NA,NA,NA
"667","ICUS0667","Gyarmati","Gabriel",NA,NA,NA
"668","ICUS0668","Gyekye","Kwame",NA,NA,NA
"669","ICUS0669","Habachi","René",NA,NA,NA
"670","ICUS0670","Hackett","Rosalind I. J.",NA,NA,NA
"671","ICUS0671","Hadden","Jeffrey K.",NA,NA,NA
"672","ICUS0672","Han","Sung-joo",NA,NA,NA
"673","ICUS0673","Hale","Paul",NA,NA,NA
"674","ICUS0674","Hallen","Patsy",NA,NA,NA
"675","ICUS0675","Halsbury","Tony",NA,NA,"B1908-06-04"
"676","ICUS0676","Hamaker","John W.",NA,NA,NA
"677","ICUS0677","Hamburgh","Max",NA,NA,NA
"678","ICUS0678","Hamdan","Halimaton",NA,NA,NA
"679","ICUS0679","Hamdani","Viqar Ahmed",NA,NA,NA
"680","ICUS0680","Hameroff","Stuart R.",NA,NA,NA
"681","ICUS0681","Hamid","Idris",NA,NA,NA
"682","ICUS0682","Hammond","Paul Y.",NA,NA,NA
"683","ICUS0683","Hammond","Phillip Everett",NA,NA,NA
"684","ICUS0684","Han","Moon-Hi",NA,NA,NA
"685","ICUS0686","Han","Tai-Soo",NA,NA,NA
"686","ICUS0687","Handlin","Oscar",NA,"B1915-09-29","B1915-09-29"
"687","ICUS0688","Handy","Rollo L.",NA,NA,NA
"688","ICUS0689","Hanna","David",NA,NA,NA
"689","ICUS0690","Hannay","R. Alastair",NA,NA,NA
"690","ICUS0691","Hannerz","Kare A.",NA,NA,NA
"691","ICUS0692","Hansen","Brian",NA,NA,NA
"692","ICUS0693","Hansen","Linda",NA,NA,NA
"693","ICUS0694","Harahap","Filino",NA,NA,NA
"694","ICUS0695","Harant","Zdena",NA,NA,NA
"695","ICUS0696","Hardin","Russell",NA,NA,NA
"696","ICUS0697","Hargraves","J. Archie",NA,NA,NA
"697","ICUS0698","Harman","Willis W.",NA,NA,NA
"698","ICUS0699","Harmon","Michael M.",NA,NA,NA
"699","ICUS0700","Harris","Lauren Julius",NA,NA,NA
"700","ICUS0701","Harris","Ransom Baine",NA,NA,NA
"701","ICUS0702","Harrison","Edward Robert",NA,NA,NA
"702","ICUS0703","Harrison III","Frank Russell‏",NA,NA,NA
"703","ICUS0704","Harrison","Geoffrey Ainsworth",NA,NA,NA
"704","ICUS0705","Harriss","Clement Lowell",NA,NA,NA
"705","ICUS0706","Hart","Henry O.",NA,NA,NA
"706","ICUS0707","Harter","Donald Alton",NA,NA,NA
"707","ICUS0708","Hartshorne","Charles",NA,NA,NA
"708","ICUS0709","Hartman","Sherry",NA,NA,NA
"709","ICUS0710","Harun ar Rashid","A. M.",NA,NA,NA
"710","ICUS0711","Hasegawa","Akira",NA,NA,NA
"711","ICUS0712","Haskell","Edward Froelich",NA,NA,NA
"712","ICUS0713","Hassan","Fuad",NA,NA,NA
"713","ICUS0714","Hasselgreen","Ingmar C.",NA,NA,NA
"714","ICUS0715","Hastings","Arthur Claude",NA,NA,NA
"715","ICUS0716","Hattiangadi","Jagdish N.",NA,NA,NA
"716","ICUS0717","Hauser","Philip Morris","B1909-09-27","B1909-09-27",NA
"717","ICUS0718","Hausner","Josef",NA,NA,NA
"718","ICUS0719","Hautala","Heidi",NA,NA,NA
"719","ICUS0720","Hay","David",NA,NA,NA
"720","ICUS0721","Hay","George",NA,NA,NA
"721","ICUS0722","Hayama","Komei",NA,NA,NA
"722","ICUS0723","Hayashi","Yujiro",NA,NA,NA
"723","ICUS0724","Hayden","Bruce P.",NA,NA,NA
"724","ICUS0725","Hayek","Friedrich August von","B1899-05-08","B1899-05-08",NA
"725","ICUS0726","Hazleton","Jared E.",NA,NA,NA
"726","ICUS0727","Headings","Verle E.",NA,NA,NA
"727","ICUS0728","Headlam-Morley","Agnes",NA,NA,NA
"728","ICUS0729","Hein","Piet",NA,NA,NA
"729","ICUS0730","Heisenberg","Werner Karl",NA,NA,NA
"730","ICUS0731","Henley","Ernest J.",NA,NA,NA
"731","ICUS0732","Henley","Kenneth",NA,NA,NA
"732","ICUS0733","Henning","H. Joerg",NA,NA,NA
"733","ICUS0734","Henry","Jean",NA,NA,NA
"734","ICUS0735","Herr","David",NA,NA,NA
"735","ICUS0736","Hersch","Jeanne",NA,NA,NA
"736","ICUS0737","Herz","Martin Florian",NA,NA,NA
"737","ICUS0738","Herzberg","Gerhard","B1904-12-25","B1904-12-25","B1904-12-25"
"738","ICUS0739","Hess","Jörg",NA,NA,NA
"739","ICUS0740","Hettema","John (Jack)",NA,NA,NA
"740","ICUS0741","Hewes","Gordon Winant",NA,NA,NA
"741","ICUS0742","Hick","John Harwood",NA,NA,NA
"742","ICUS0743","Higatsberger","Michael J.",NA,NA,NA
"743","ICUS0744","Hiley","Basil James",NA,NA,NA
"744","ICUS0745","Hill","Dennis L.",NA,NA,NA
"745","ICUS0746","Hill","Reuben Lorenzo",NA,NA,NA
"746","ICUS0747","Hill Jr","Samuel Smythe",NA,NA,NA
"747","ICUS0748","Hill","Stuart B.",NA,NA,NA
"748","ICUS0749","Hillman","Jimmye S.",NA,NA,NA
"749","ICUS0750","Hilpinen","Risto",NA,NA,NA
"750","ICUS0751","Himmelweit","Hildegard Therese",NA,NA,NA
"751","ICUS0752","Hintikka","Kaarlo Jaakko Juhani",NA,NA,NA
"752","ICUS0753","Hirshleifer","Jack",NA,NA,NA
"753","ICUS0754","Hiskett","Mervyn",NA,NA,NA
"754","ICUS0755","Hitotsumatsu","Shin",NA,NA,NA
"755","ICUS0756","Ho","Tao",NA,"B1936-07-17","B1936-07-17"
"756","ICUS0757","Hobbs","Ron",NA,NA,NA
"757","ICUS0758","Hodgson","Peter Edward",NA,NA,NA
"758","ICUS0759","Hoeber","Amoretta M.",NA,NA,NA
"759","ICUS0760","Hoeber","Francis P.",NA,NA,NA
"760","ICUS0761","Hofecker","Gerhard",NA,NA,NA
"761","ICUS0762","Hokkanen","Heikki M. T.",NA,NA,NA
"762","ICUS0763","Holloway","Ralph L.",NA,NA,NA
"763","ICUS0764","Holmfeld","John",NA,NA,NA
"764","ICUS0765","Honda","Masaaki",NA,NA,NA
"765","ICUS0766","Hong","Howard Vincent",NA,NA,NA
"766","ICUS0767","Hong","Woong-sun",NA,NA,NA
"767","ICUS0768","Hood","C. Ellsworth",NA,NA,NA
"768","ICUS0769","Hook","Sidney","B1902-12-20","B1902-12-20",NA
"769","ICUS0770","Hoppe","Hans-Hermann",NA,NA,NA
"770","ICUS0771","Horn","John L.",NA,NA,NA
"771","ICUS0772","Hossain","Monowar",NA,NA,NA
"772","ICUS0773","Hourani","Benjamin Tamer",NA,NA,NA
"773","ICUS0774","Howard","Arthur Ellsworth Dick",NA,NA,NA
"774","ICUS0775","Howlett","Jack",NA,NA,NA
"775","ICUS0776","Hsiung","James Chieh",NA,NA,NA
"776","ICUS0777","Hu","Xinhe",NA,NA,NA
"777","ICUS0778","Huang","Sung-Mo",NA,NA,NA
"778","ICUS0779","Hübner","Adolf",NA,NA,NA
"779","ICUS0780","Hübner","Kurt",NA,NA,NA
"780","ICUS0781","Hughes","Vernon Willard",NA,NA,NA
"781","ICUS0782","Hui","Ka Kit",NA,NA,NA
"782","ICUS0783","Hülsmann","Jörg Guido",NA,NA,NA
"783","ICUS0784","Hummel","Jeffrey Rogers",NA,NA,NA
"784","ICUS0785","Hungerford","Herbert Eugene",NA,NA,NA
"785","ICUS0786","Hungerford","Lugene G.",NA,NA,NA
"786","ICUS0787","Hunter","Howard E.",NA,NA,NA
"787","ICUS0788","Husain","Mahmud",NA,NA,NA
"788","ICUS0789","Husen","Torsten","B1916-03-01","B1916-03-01","B1916-03-01"
"789","ICUS0791","Hwang","Pilho",NA,NA,NA
"790","ICUS0792","Hyde","Gordon",NA,NA,NA
"791","ICUS0793","Hydén","Holger",NA,NA,NA
"792","ICUS0794","Ibrahim","Saad Eddin",NA,NA,NA
"793","ICUS0795","Ikegami","Masato",NA,NA,NA
"794","ICUS0796","Ikemi","Yujiro",NA,NA,NA
"795","ICUS0797","Ikuta","Toyoaki",NA,NA,NA
"796","ICUS0798","Illyés","Sándor",NA,NA,NA
"797","ICUS0799","Iltis","Hugh H.",NA,NA,NA
"798","ICUS0800","Imamichi","Tomonobu",NA,NA,NA
"799","ICUS0801","Ingle","Dwight Joyce","B1907-09-04",NA,NA
"800","ICUS0802","Inglis","Brian",NA,NA,NA
"801","ICUS0803","Ingram","David John Edward",NA,NA,"B1927-04-06"
"802","ICUS0804","Inkler","Valeria",NA,NA,NA
"803","ICUS0805","Inoue","Tadashi",NA,NA,NA
"804","ICUS0806","Irvine","Reed J.",NA,NA,NA
"805","ICUS0807","Isaac","Ephraim",NA,NA,NA
"806","ICUS0808","Ishikawa","Mitsuo",NA,NA,NA
"807","ICUS0809","Ishumi","Abel G. M.",NA,NA,NA
"808","ICUS0810","Islam","Azizun Nahar",NA,NA,NA
"809","ICUS0811","Islam","Nurul",NA,"B1929-04-01","B1929-04-01"
"810","ICUS0812","Itani","Junichiro",NA,NA,NA
"811","ICUS0813","Ito","Shuntaro",NA,NA,NA
"812","ICUS0814","Jaber","Kamel Abu",NA,NA,NA
"813","ICUS0815","Jacchia","Enrico",NA,NA,NA
"814","ICUS0816","Jackson","Ray Weldon",NA,NA,NA
"815","ICUS0817","Jackson","Wes",NA,NA,NA
"816","ICUS0818","Jaffe","Russell M.",NA,NA,NA
"817","ICUS0819","Jaguaribe","Hélio",NA,NA,NA
"818","ICUS0820","Jaki","Stanley Ladislas",NA,NA,"B1924-08-17"
"819","ICUS0821","Jamali","Mohammed Fadhel",NA,NA,NA
"820","ICUS0822","James","Abraham L.",NA,NA,NA
"821","ICUS0823","James","Gene G.",NA,NA,NA
"822","ICUS0824","Jammer","Max",NA,NA,NA
"823","ICUS0825","Jantsch","Erich",NA,NA,NA
"824","ICUS0826","Jarvie","Ian Charles",NA,NA,NA
"825","ICUS0827","Jastrow","Robert","B1925-09-07","B1925-09-07","B1925-09-07"
"826","ICUS0828","Jerison","Harry Jacob",NA,NA,NA
"827","ICUS0829","Jerome","Norge Winifred",NA,NA,NA
"828","ICUS0830","Jeuken","Marie",NA,NA,NA
"829","ICUS0831","Ji","Chang-juan",NA,NA,NA
"830","ICUS0832","Jiang","Binglun",NA,NA,NA
"831","ICUS0833","Jimenez","Maria Carmen C.",NA,NA,NA
"832","ICUS0834","Jin","Daxun",NA,NA,NA
"833","ICUS0835","Jin","Sung Bae",NA,NA,NA
"834","ICUS0836","Johnson","Bruce Connor",NA,NA,NA
"835","ICUS0837","Johnson","Craig",NA,NA,NA
"836","ICUS0838","Johnson","Fred M.",NA,NA,NA
"837","ICUS0839","Johnson","J. Prescott",NA,NA,NA
"838","ICUS0840","Johnson","Lemuel A.",NA,NA,NA
"839","ICUS0841","Johnson","Milton G.",NA,NA,NA
"840","ICUS0842","Johnson-Lans","Shirley B.",NA,NA,NA
"841","ICUS0843","Johnson-Marshall","Percy Edwin Alan",NA,NA,NA
"842","ICUS0844","Jonas","Paul",NA,NA,NA
"843","ICUS0845","Jones","Donald Gene",NA,NA,NA
"844","ICUS0846","Jones","Hardin Blair",NA,NA,NA
"845","ICUS0847","Jones","Major J.",NA,NA,NA
"846","ICUS0848","Jones","Reginald Victor","B1911-09-29","B1911-09-29","B1911-09-29"
"847","ICUS0849","Jones","Thomas E.",NA,NA,NA
"848","ICUS0850","Jones","William Ronald",NA,NA,NA
"849","ICUS0851","Jordens","Joseph Teresa Florent",NA,NA,NA
"850","ICUS0852","Josephson","Brian David","B1904-01-04","B1940-01-04","B1940-01-04"
"851","ICUS0853","Jovanovich","Jovan V.",NA,NA,NA
"852","ICUS0854","Jumsai","Sumet",NA,NA,NA
"853","ICUS0855","Jung","Hwa-Yol",NA,NA,NA
"854","ICUS0856","Juskalian","George",NA,NA,NA
"855","ICUS0857","Kabilsingh","Chatsumarn",NA,NA,NA
"856","ICUS0858","Kac","Mark","B1914-08-03",NA,NA
"857","ICUS0859","Kahn","Herman","B1922-02-15",NA,NA
"858","ICUS0860","Kahneman","Daniel",NA,NA,NA
"859","ICUS0861","Kakihana","Hidetaka",NA,NA,NA
"860","ICUS0862","Kakonge","Edward",NA,NA,NA
"861","ICUS0863","Kalansuriya","A. D. P.",NA,NA,NA
"862","ICUS0864","Kalaw","Eva Estrada",NA,NA,NA
"863","ICUS0865","Kalda","Jaan",NA,NA,NA
"864","ICUS0866","Kalupahana","David J.",NA,NA,NA
"865","ICUS0867","Kang","Kook Hee",NA,NA,NA
"866","ICUS0868","Kang","Ouyang",NA,NA,NA
"867","ICUS0869","Kang","Shin Pyo",NA,NA,NA
"868","ICUS0870","Kang","Soo Won",NA,NA,NA
"869","ICUS0871","Kang","Yung-Sun",NA,NA,NA
"870","ICUS0872","Kanitscheider","Bernulf",NA,NA,NA
"871","ICUS0873","Kano","Takayoshi",NA,NA,NA
"872","ICUS0874","Kapitza","Sergeĭ Petrovich",NA,NA,NA
"873","ICUS0875","Kaplan","Morton Abraham",NA,NA,NA
"874","ICUS0876","Karefa-Smart","John Albert Musselman","B1915-06-17","B1915-06-17","B1915-06-17"
"875","ICUS0877","Karhan","Kemal",NA,NA,NA
"876","ICUS0878","Karlson","Nils",NA,NA,NA
