"","ID","Surname","Given","IntlWW40","IntlWW50","IntlWW60"
"104","ICUS0104","Ayres","Robert U.",NA,NA,NA
"105","ICUS0105","Abdul Aziz","Ungku","B1922-01-28","B1922-01-28","B1922-01-28"
"106","ICUS0106","Azorín Poch","Francisco",NA,NA,NA
"107","ICUS0107","Badham","Paul",NA,NA,NA
"108","ICUS0108","Badr","Gamal Moursi",NA,NA,NA
"109","ICUS0109","Badran","Adnan",NA,NA,NA
"110","ICUS0110","Bae","Jong Ho",NA,NA,NA
"111","ICUS0111","Baelz","Peter",NA,NA,NA
"112","ICUS0112","Baer","Werner",NA,NA,NA
"113","ICUS0113","Bahm","Archie J.",NA,NA,NA
"114","ICUS0114","Baick","Daihyen",NA,NA,NA
"115","ICUS0115","Baier","Kurt Erich",NA,NA,NA
"116","ICUS0116","Bakar","Osman Bin",NA,NA,NA
"117","ICUS0117","Baker","Paul Thornell",NA,NA,"B1927-02-28"
"118","ICUS0118","Balasubramanian","Rajangam",NA,NA,NA
"119","ICUS0119","Barash","David Philip",NA,NA,NA
"120","ICUS0120","Barba-Negra","Paul",NA,NA,NA
"121","ICUS0121","Barber","Richard L.",NA,NA,NA
"122","ICUS0122","Bardis","Panos Demetrios",NA,NA,"B1923-09-24"
"123","ICUS0123","Bardos","Thomas J.",NA,NA,NA
"124","ICUS0124","Bar-Hillel","Yehoshua",NA,NA,NA
"125","ICUS0125","Barkenbus","Jack",NA,NA,NA
"126","ICUS0126","Barker","Eileen V.",NA,NA,NA
"127","ICUS0127","Barnés de Castro","Francisco José",NA,NA,NA
"128","ICUS0128","Barnhouse","Ruth Tiffany",NA,NA,NA
"129","ICUS0129","Bartley III","William Warren",NA,NA,NA
"130","ICUS0130","Barton","Derek Harold Richard","B1918-09-08","B1918-09-08","B1918-09-08"
"131","ICUS0131","Bascom","Willard",NA,NA,NA
"132","ICUS0132","Basile","Joseph",NA,NA,NA
"133","ICUS0133","Basmajian","John Varoujan",NA,NA,NA
"134","ICUS0134","Bassand","Michel",NA,NA,NA
"135","ICUS0135","Bassani","Luigi Marco",NA,NA,NA
"136","ICUS0136","Bastin","Ted",NA,NA,NA
"137","ICUS0137","Basu","Arabinda",NA,NA,NA
"138","ICUS0138","Bateson","Mary Catherine",NA,NA,NA
"139","ICUS0139","Bauer","Henry Hermann",NA,NA,NA
"140","ICUS0140","Bauer","Mariano",NA,NA,NA
